Selection,1415560,1412643,1450408,1446900,1412529,1427559,1420585,1478017,1414615,1430603,1430941.9,R,13382,14278,13369,13870,13389,13395,13223,13332,13665,13618,13552.1,R,176,194,168,173,172,161,169,176,158,170,171.7,R,1,1,1,1,1,1,1,1,1,1,1,R,Selection
,420590,422610,465254,425138,422324,424057,423830,427322,422654,454967,430874.6,A,3642,3724,3667,3664,3598,3645,3584,3592,3674,3612,3640.2,A,47,53,56,51,57,51,60,53,44,59,53.1,A,0,0,0,0,0,0,0,0,0,0,0,A,
,1118880,1174989,1194533,1132660,1142092,1128446,1126293,1190207,1119040,1319834,1164697.4,P,10514,10757,10477,10593,10511,10592,10476,11236,10551,10738,10644.5,P,48,56,48,52,52,50,58,52,59,43,51.8,P,0,0,0,0,0,0,0,0,0,0,0,P,
,421740,451845,548533,425450,444914,423714,423187,442827,420588,490498,449329.6,S,3713,3816,3671,3767,3770,3626,3752,3927,3729,3654,3742.5,S,43,48,45,75,50,46,51,66,45,46,51.5,S,0,0,0,0,0,0,0,0,0,0,0,S,
,800170,832210,803295,812332,823103,803870,802069,804619,800947,854246,813686.1,D,7990,8034,7864,7919,7978,7885,7964,7930,7865,7720,7914.9,D,113,109,102,105,107,95,99,127,108,99,106.4,D,0,0,1,1,0,1,0,0,0,0,0.3,D,
Quick*,7100,6145,5889,6474,9346,5335,6553,8811,5462,5678,6679.3,R,195,225,198,170,156,194,235,199,197,155,192.4,R,29,39,40,36,40,30,30,49,37,35,36.5,R,6,6,7,8,7,6,7,6,6,6,6.5,R,Quick*
,3141,3960,3693,3316,3046,3393,3400,3768,3248,3428,3439.3,A,154,242,149,196,126,186,198,182,153,133,171.9,A,27,27,24,29,25,24,33,30,27,23,26.9,A,6,6,6,5,7,9,5,6,5,6,6.1,A,
,4301,5241,4951,4454,4698,4496,4342,4906,4522,4661,4657.2,P,188,216,173,182,146,229,205,157,228,150,187.4,P,24,31,26,32,23,22,24,37,22,23,26.4,P,6,6,15,6,5,5,7,6,5,6,6.7,P,
,17,12,11,12,10,11,11,11,10,12,11.7,S,2,2,2,2,2,2,2,2,2,1,1.9,S,0,0,0,0,0,0,1,0,0,1,0.2,S,0,0,0,0,0,0,0,0,0,0,0,S,
,3137,4026,2193,3438,3604,3423,3174,2064,3600,3538,3219.7,D,261,194,166,178,116,160,174,165,185,142,174.1,D,27,26,25,22,29,31,30,25,26,25,26.6,D,6,5,7,6,5,5,7,6,7,6,6,D,
Quick,134,107,94,134,101,98,133,133,115,137,118.6,R,9,9,8,9,12,9,9,10,7,9,9.1,R,0,0,0,1,0,0,0,0,0,0,0.1,R,0,0,0,0,0,0,0,0,0,0,0,R,Quick
,57,24,41,24,32,33,39,38,25,51,36.4,A,9503,8467,8611,7966,11953,8823,8828,9017,8439,8736,9034.3,A,103,76,95,74,112,80,94,86,89,85,89.4,A,0,0,0,1,0,0,0,0,0,0,0.1,A,
,251,246,213,224,256,237,238,241,232,256,239.4,P,9,8,7,8,10,6,8,8,7,12,8.3,P,79,81,114,82,101,102,82,79,123,85,92.8,P,0,0,0,1,0,0,0,0,0,0,0.1,P,
,622259,584777,845490,824729,806918,652670,578460,593553,688230,584034,678112,S,8718,10905,7564,8090,12922,8884,9087,8830,9416,9363,9377.9,S,100,85,96,86,81,92,95,80,84,93,89.2,S,1,0,0,1,0,0,0,0,0,0,0.2,S,
,40,74,33,37,38,63,38,42,44,50,45.9,D,7575,6955,6944,7296,8390,8750,7410,7197,7795,6960,7527.2,D,63,68,66,96,69,81,66,72,90,72,74.3,D,0,0,0,0,0,0,0,0,0,0,0,D,
